cause_concept_id,cause_name,apply_on_sex_incompatibility,apply_on_age_incompatibility,replacement_rule_id,handling_label,handling_note,method_source,active
9000420,Condiciones maternas,1,1,1,reclassify_to_all_diseases_pool,"Causa materna incompatible con sexo o edad observados; se trata como causa directa incompatible con demografía y se redistribuye al pool amplio de enfermedades fatales sin modificar sexo ni edad observados.",manual_project_decision,1
9000500,Complicaciones del parto prematuro,0,1,1,reclassify_to_all_diseases_pool,"Causa neonatal incompatible con la edad observada; se trata como causa directa incompatible con demografía y se redistribuye al pool amplio de enfermedades fatales sin modificar la edad observada.",manual_project_decision,1
9000510,Asfixia perinatal y trauma del parto,0,1,1,reclassify_to_all_diseases_pool,"Causa neonatal incompatible con la edad observada; se trata como causa directa incompatible con demografía y se redistribuye al pool amplio de enfermedades fatales sin modificar la edad observada.",manual_project_decision,1
9000520,Sepsis neonatal e infecciones,0,1,1,reclassify_to_all_diseases_pool,"Causa neonatal incompatible con la edad observada; se trata como causa directa incompatible con demografía y se redistribuye al pool amplio de enfermedades fatales sin modificar la edad observada.",manual_project_decision,1
9000530,Otras condiciones neonatales,0,1,1,reclassify_to_all_diseases_pool,"Causa neonatal incompatible con la edad observada; se trata como causa directa incompatible con demografía y se redistribuye al pool amplio de enfermedades fatales sin modificar la edad observada.",manual_project_decision,1
9001505,Síndrome de muerte súbita del lactante,0,1,1,reclassify_to_all_diseases_pool,"SIDS fuera de edad 0 se trata como causa directa incompatible con demografía y se redistribuye al pool amplio de enfermedades fatales sin modificar la edad observada.",manual_project_decision,1
9000710,Cáncer de cuello uterino,1,0,5,reclassify_to_cancer_pool,"Cáncer anatómicamente incompatible con el sexo observado; se trata como causa directa incompatible con demografía y se redistribuye dentro del pool amplio de cánceres sin modificar el sexo observado.",manual_project_decision,1
9000720,Cáncer de cuerpo uterino,1,0,5,reclassify_to_cancer_pool,"Cáncer anatómicamente incompatible con el sexo observado; se trata como causa directa incompatible con demografía y se redistribuye dentro del pool amplio de cánceres sin modificar el sexo observado.",manual_project_decision,1
9000730,Cáncer de ovario,1,0,5,reclassify_to_cancer_pool,"Cáncer anatómicamente incompatible con el sexo observado; se trata como causa directa incompatible con demografía y se redistribuye dentro del pool amplio de cánceres sin modificar el sexo observado.",manual_project_decision,1
9000740,Cáncer de próstata,1,0,5,reclassify_to_cancer_pool,"Cáncer anatómicamente incompatible con el sexo observado; se trata como causa directa incompatible con demografía y se redistribuye dentro del pool amplio de cánceres sin modificar el sexo observado.",manual_project_decision,1
9000742,Cáncer de testículo,1,0,5,reclassify_to_cancer_pool,"Cáncer anatómicamente incompatible con el sexo observado; se trata como causa directa incompatible con demografía y se redistribuye dentro del pool amplio de cánceres sin modificar el sexo observado.",manual_project_decision,1
