old_cause_concept_id,new_cause_concept_id,mapping_method,review_required
9000010,,"",1
9000020,,"",1
9000030,,"",1
9000040,,"",1
9000050,9000050,identity,0
9000060,9000060,identity,0
9000070,9000070,identity,0
9000080,9000080,identity,0
9000085,9000085,identity,0
9000090,9000090,identity,0
9000100,,"",1
9000101,9000101,identity,0
9000102,9000102,identity,0
9000110,,"",1
9000120,,"",1
9000130,9000130,identity,0
9000140,9000140,identity,0
9000150,9000150,identity,0
9000160,9000160,identity,0
9000170,,"",1
9000180,,"",1
9000185,,"",1
9000186,9000186,identity,0
9000190,9000190,identity,0
9000200,9000200,identity,0
9000205,9000205,identity,0
9000210,,"",1
9000220,9000220,identity,0
9000230,9000230,identity,0
9000240,9000240,identity,0
9000250,9000250,identity,0
9000260,9000260,identity,0
9000270,9000270,identity,0
9000280,9000280,identity,0
9000285,9000285,identity,0
9000295,9000295,identity,0
9000300,9000300,identity,0
9000310,9000310,identity,0
9000315,9000315,identity,0
9000320,9000320,identity,0
9000330,,"",1
9000340,9000340,identity,0
9000350,9000350,identity,0
9000360,9000360,identity,0
9000362,9000362,identity,0
9000365,,"",1
9000370,,"",1
9000380,,"",1
9000390,,"",1
9000395,,"",1
9000400,,"",1
9000410,,"",1
9000420,,"",1
9000490,,"",1
9000500,,"",1
9000510,,"",1
9000520,,"",1
9000530,,"",1
9000540,,"",1
9000550,,"",1
9000560,,"",1
9000570,,"",1
9000580,,"",1
9000590,,"",1
9000600,,"",1
9000610,,"",1
9000620,,"",1
9000621,9000621,identity,0
9000622,9000622,identity,0
9000623,9000623,identity,0
9000630,,"",1
9000640,,"",1
9000650,,"",1
9000660,,"",1
9000670,,"",1
9000680,,"",1
9000690,,"",1
9000691,9000691,identity,0
9000692,9000692,identity,0
9000700,,"",1
9000710,,"",1
9000720,,"",1
9000730,,"",1
9000740,,"",1
9000742,,"",1
9000745,,"",1
9000750,,"",1
9000751,,"",1
9000752,,"",1
9000753,,"",1
9000754,,"",1
9000755,,"",1
9000760,,"",1
9000761,9000761,identity,0
9000762,9000762,identity,0
9000763,9000763,identity,0
9000770,,"",1
9000780,,"",1
9000790,,"",1
9000800,,"",1
9000810,,"",1
9000811,,"",1
9000812,,"",1
9000813,,"",1
9000814,,"",1
9000820,,"",1
9000830,,"",1
9000831,9000831,identity,0
9000832,9000832,identity,0
9000840,,"",1
9000850,,"",1
9000860,,"",1
9000870,,"",1
9000871,9000871,identity,0
9000872,9000872,identity,0
9000873,9000873,identity,0
9000874,9000874,identity,0
9000875,9000875,identity,0
9000880,,"",1
9000890,,"",1
9000900,,"",1
9000910,,"",1
9000911,9000911,identity,0
9000912,9000912,identity,0
9000920,,"",1
9000930,,"",1
9000940,,"",1
9000950,,"",1
9000960,,"",1
9000970,,"",1
9000980,,"",1
9000990,,"",1
9001000,,"",1
9001010,,"",1
9001020,,"",1
9001030,,"",1
9001040,,"",1
9001050,,"",1
9001060,,"",1
9001070,,"",1
9001080,,"",1
9001090,,"",1
9001100,,"",1
9001110,,"",1
9001120,,"",1
9001130,,"",1
9001140,,"",1
9001150,,"",1
9001160,,"",1
9001170,,"",1
9001180,,"",1
9001190,,"",1
9001200,,"",1
9001210,,"",1
9001220,,"",1
9001230,,"",1
9001240,,"",1
9001241,,"",1
9001242,,"",1
9001244,,"",1
9001246,,"",1
9001248,,"",1
9001250,,"",1
9001260,,"",1
9001270,,"",1
9001271,9001271,identity,0
9001272,9001272,identity,0
9001273,9001273,identity,0
9001280,9001280,identity,0
9001290,9001290,identity,0
9001300,9001300,identity,0
9001310,9001310,identity,0
9001320,9001320,identity,0
9001330,9001330,identity,0
9001340,9001340,identity,0
9001350,9001350,identity,0
9001360,9001360,identity,0
9001370,9001370,identity,0
9001380,9001380,identity,0
9001390,9001390,identity,0
9001400,9001400,identity,0
9001410,9001410,identity,0
9001420,9001420,identity,0
9001430,9001430,identity,0
9001440,,"",1
9001450,,"",1
9001460,,"",1
9001470,,"",1
9001480,,"",1
9001490,,"",1
9001500,,"",1
9001502,,"",1
9001505,,"",1
9001510,,"",1
9001520,,"",1
9001530,,"",1
9001540,,"",1
9001550,,"",1
9001560,,"",1
9001570,,"",1
9001575,,"",1
9001580,,"",1
9001590,,"",1
9001600,,"",1
9001610,,"",1
9001620,,"",1
9001630,,"",1
