source_concept_id,codigo_fuente,cause_level,cause_name,level_1_name,level_2_name,level_3_name,level_4_name,cie10,regex_r,yll_flag,yld_flag,burden_component_class,redistribution_target_eligible_default,abds_target_scope_excluded,australia_check,australia_note,classification_basis,evidence_source,suggested_redistribution_pool,conflict_or_review_flag
9000010,10,1,"Condiciones transmisibles, maternas, perinatales y nutricionales","Condiciones transmisibles, maternas, perinatales y nutricionales",,,,"A00-B99, D50-D53, D64.9, E00-E02, E40-E46, E50-E64, G00-G04, G14, H65-H66, J00-J22, N70-N73, O00-O99, P00-P96, U04, U07, U09-U10",^(?:(?:A(?:00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99)[0-9]?|B(?:00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99)[0-9]?)|D(?:50|51|52|53)[0-9]?|D649|E(?:00|01|02)[0-9]?|E(?:40|41|42|43|44|45|46)[0-9]?|E(?:50|51|52|53|54|55|56|57|58|59|60|61|62|63|64)[0-9]?|G(?:00|01|02|03|04)[0-9]?|G14[0-9]?|H(?:65|66)[0-9]?|J(?:00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22)[0-9]?|N(?:70|71|72|73)[0-9]?|O(?:00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99)[0-9]?|P(?:00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96)[0-9]?|U04[0-9]?|U07[0-9]?|U(?:09|10)[0-9]?).*,1,1,both,1,0,not_checked,,Derived from descendants: mixed and/or both components present,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,0
9000020,20,2,Enfermedades infecciosas y parasitarias,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,,,"A00-B99, G00-G04, G14, N70-N73, P37.3, P37.4",^(?:(?:A(?:00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99)[0-9]?|B(?:00|01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99)[0-9]?)|G(?:00|01|02|03|04)[0-9]?|G14[0-9]?|N(?:70|71|72|73)[0-9]?|P373|P374).*,1,1,both,1,0,not_checked,,Derived from descendants: mixed and/or both components present,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,0
9000030,30,3,Tuberculosis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Tuberculosis,,"A15-A19, B90",^(?:A(?:15|16|17|18|19)[0-9]?|B90[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000040,40,3,Enfermedades de transmisión sexual excluyendo VIH/SIDA,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades de transmisión sexual excluyendo VIH/SIDA,,"A50-A64, N70-N73",^(?:A(?:50|51|52|53|54|55|56|57|58|59|60|61|62|63|64)[0-9]?|N(?:70|71|72|73)[0-9]?).*,1,1,both,1,0,not_checked,,Derived from descendants: mixed and/or both components present,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,0
9000050,50,4,Sifilis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades de transmisión sexual excluyendo VIH/SIDA,Sifilis,A50-A53,^(?:A(?:50|51|52|53)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000060,60,4,Clamidia,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades de transmisión sexual excluyendo VIH/SIDA,Clamidia,A55-A56,^(?:A(?:55|56)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000070,70,4,Gonorrea,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades de transmisión sexual excluyendo VIH/SIDA,Gonorrea,A54,^(?:A54[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
9000080,80,4,Tricomoniasis,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades de transmisión sexual excluyendo VIH/SIDA,Tricomoniasis,A59,^(?:A59[0-9]?).*,0,1,yld_only,0,0,agree,,GBD exact/near-exact match,GBD 2021 hierarchy file,Redistribuir a infecciosas fatales hermanas del mismo bloque.,0
9000085,85,4,Herpes genital,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades de transmisión sexual excluyendo VIH/SIDA,Herpes genital,A60,^(?:A60[0-9]?).*,0,1,yld_only,0,0,agree,,GBD exact/near-exact match,GBD 2021 hierarchy file,Redistribuir a infecciosas fatales hermanas del mismo bloque.,0
9000090,90,4,Otras enfermedades de transmisión sexual,"Condiciones transmisibles, maternas, perinatales y nutricionales",Enfermedades infecciosas y parasitarias,Enfermedades de transmisión sexual excluyendo VIH/SIDA,Otras enfermedades de transmisión sexual,"A57-A58, A63-A64, N70-N73",^(?:A(?:57|58)[0-9]?|A(?:63|64)[0-9]?|N(?:70|71|72|73)[0-9]?).*,1,1,both,1,0,not_checked,,Default structural rule: treat as potentially fatal and non-fatal unless explicit GBD/ABDS evidence indicates otherwise,Derived from project hierarchy / default unless contradicted by GBD or ABDS,,1
